Style,OG,FG,ABV,IBU,Color
1,1.057,1.014,5.74,48.59,6.56
1,1.086,1.022,8.41,48.33,16.06
0,1.083,1.019,8.4,57.24,28.12
1,1.093,1.022,9.29,113.42,22.91
0,1.106,1.03,10.01,51.79,14.5
1,1.102,1.02,10.74,70.54,31.16
0,1.1,1.032,8.86,71.52,12.99
0,1.101,1.028,9.57,32.63,11.83
1,1.1,1.024,9.94,47.5,28.01
0,1.113,1.017,12.61,75.53,15.95
1,1.109,1.026,10.96,34.7,31.58
0,1.117,1.028,11.8,55.96,16.99
1,1.097,1.032,8.45,33.52,13.69
0,1.122,1.03,12.07,102.45,22.59
0,1.079,1.012,8.8,52.8,15.34
1,1.107,1.024,10.87,77.59,18.35
0,1.11,1.025,11.17,92.95,6.49
1,1.101,1.026,9.86,66.05,15.12
0,1.103,1.031,9.54,74.32,12.82
0,1.111,1.02,12,56.89,18.39
1,1.086,1.018,9.02,49.85,8.69
0,1.107,1.016,11.9,0,13.16
1,1.115,1.027,11.54,46.02,10.43
0,1.097,1.024,9.49,73.65,15.59
1,1.1,1.025,9.83,84.72,18.37
1,1.091,1.023,8.95,67.42,9.95
1,1.108,1.026,10.83,70.16,17.99
0,1.098,1.018,11.64,37.3,8.25
1,1.105,1.024,10.69,55.79,21.93
0,1.113,1.021,12.13,72.18,6.4
0,1.088,1.025,8.32,111.8,10.74
0,1.076,1.027,6.44,71.91,20.94
0,1.063,1.016,6.2,26.59,13.57
1,1.091,1.026,8.56,48.01,14.73
1,1.102,1.015,11.36,49.34,11.7
1,1.107,1.032,9.86,46.93,8.92
0,1.105,1.026,10.37,60.99,26.23
0,1.1,1.023,10.12,80.03,16.27
1,1.118,1.031,11.33,52.99,10.23
1,1.102,1.025,10.03,83.68,13.31
0,1.089,1.021,8.97,77.02,8.37
1,1.102,1.023,10.32,18.25,6.52
1,1.105,1.028,11.29,76.71,30.66
1,1.133,1.019,14.96,69.12,15.57
0,1.114,1.027,11.44,90.35,17.26
1,1.105,1.028,10.14,48.17,15.99
1,1.118,1.027,11.97,71.03,17.44
1,1.118,1.027,11.87,70.01,19.92
1,1.084,1.011,9.62,52.33,8.13
1,1.103,1.024,11.6,51.24,31.58
1,1.087,1.021,8.67,76.64,11.23
0,1.11,1.027,10.85,68.05,13.36
0,1.103,1.029,9.69,90.65,19.32
0,1.116,1.028,11.57,75.75,20.41
1,1.1,1.025,9.81,50.17,19.09
0,1.094,1.015,10.41,95.08,6.62
0,1.094,1.021,9.61,59.08,6.87
1,1.079,1.016,8.34,56.03,9.83
1,1.106,1.027,10.48,0,9.11
1,1.114,1.037,10.14,105.73,19.23
